Vertex Number of Tree:1893
1 1 -159.579830 161.090560
2 2 -61.704680 -156.669600
9 3 487.837740 293.977260
21 30 38.278230 469.253080
22 32 -177.183650 165.373640
33 36 197.607570 -169.535170
34 42 168.400000 58.314556
3 44 -144.168300 204.565540
19 101 -392.299400 280.097320
24 123 -335.293730 439.283900
30 132 -486.296260 -217.418810
35 135 -226.486760 14.160687
36 146 122.517670 -442.648320
38 159 130.005280 -254.601500
41 161 145.456090 -474.980800
42 211 -351.674800 -21.364918
43 255 -302.425080 -228.290730
46 281 -356.899260 138.811510
49 302 -116.244170 150.841420
50 312 -241.983580 61.970318
53 323 228.160370 464.583040
54 397 -272.483500 -379.267270
57 477 -241.149110 -333.096900
59 652 -298.106350 -226.631240
61 856 -33.395813 -211.060960
64 1014 -461.129760 315.786830
68 1271 45.418365 -422.568420
69 1312 418.881000 296.435400
70 1440 -208.059080 158.268420
72 1626 376.615700 266.020720
73 1655 292.022550 389.718400
74 1675 -142.015380 277.112100
75 1779 54.827423 -46.273090
76 1790 209.518520 -176.883680
78 4 -431.592620 -351.318540
80 9 86.318390 -288.229340
81 26 345.374050 -206.653730
82 27 125.020780 205.215260
83 41 403.279750 129.203110
89 51 -130.153600 -373.129240
90 58 -218.455900 117.225204
94 60 -137.348970 34.761760
95 62 135.239780 65.150070
96 68 11.999662 491.588960
97 72 -334.221300 92.605330
98 83 -158.363920 -76.230545
101 84 -350.485930 -456.017760
102 88 -14.678011 -445.174560
103 99 -392.497070 92.738880
105 105 342.870640 422.919340
107 144 -276.851350 445.855620
108 155 -358.697500 -452.005900
109 172 459.169600 253.453660
111 173 -244.598880 -99.106064
114 176 451.317840 -443.873750
115 180 33.549713 445.002960
117 185 -336.503170 -138.677350
119 194 47.579742 170.355030
121 199 477.404630 -269.838400
125 221 -360.535060 220.830370
126 224 -140.444340 -422.656650
127 234 -126.954380 -73.029740
128 242 -0.490450 239.364730
129 243 -484.430200 -199.896200
130 249 -154.635860 -249.966020
131 252 -28.311586 317.895720
132 257 -223.956090 -322.681180
133 283 171.645170 -362.912320
134 285 244.643950 321.852080
137 288 -224.248840 206.120160
138 308 -396.935940 54.956830
140 317 198.837310 -381.514470
141 333 475.395970 82.842575
142 338 381.228900 -52.922810
144 346 -13.997927 -36.336050
146 371 -63.112457 230.463790
147 372 -132.049320 275.420620
148 374 294.718480 -256.068180
149 385 -21.549807 -64.782030
150 394 -284.358460 181.302900
152 408 30.150175 -195.803850
153 415 -384.123440 -102.052140
154 475 410.654400 377.474330
155 482 455.994960 -78.917950
157 487 -192.682280 -445.253600
158 488 -434.358430 -479.658400
160 495 -19.626009 -285.297400
163 498 -334.568900 -250.196090
164 504 434.671050 -424.757900
165 509 -479.623500 -477.970860
166 545 -71.237366 -388.521030
167 555 113.307340 455.365570
168 569 -270.164100 124.833970
169 582 -37.912262 -52.327442
170 590 273.928380 409.043430
171 610 -278.954070 -327.217930
172 611 423.115750 -157.294050
173 615 4.877287 -29.568134
177 618 -175.172580 153.025620
179 640 452.386500 406.068080
180 641 -26.825747 -458.299070
181 645 407.783970 113.828900
182 681 448.149080 -158.553240
183 687 238.855010 404.185270
185 697 465.786650 380.425630
186 700 234.170070 -482.871100
187 701 310.847560 -228.095690
188 711 225.607210 332.460360
190 731 443.315770 417.740630
191 740 -432.190400 310.646880
5 741 70.976840 116.843980
20 752 -127.199190 -69.119340
37 754 -237.429900 -196.457840
45 768 -54.165497 417.384200
84 778 239.485200 105.827320
175 781 -302.345400 -399.326500
228 782 -171.301060 109.741070
244 790 418.695100 347.402070
287 794 185.625640 443.699500
305 800 -307.650630 110.575485
321 810 -197.218540 -444.653400
364 814 397.290740 -198.661970
365 823 -491.362400 -156.435200
407 824 -297.072500 364.197970
425 840 -369.233860 129.559680
431 846 -302.572660 149.472150
519 865 -251.642330 -196.525040
521 881 304.347320 419.894800
542 893 -8.583803 -133.216720
543 928 441.757600 102.748276
